AbsClampIATCall                        returned 0 writes, no hit
Add0fJmp                               returned 1 writes, no hit
AddDerefJmp                            EMU-ERROR UcError: Invalid memory fetch (UC_ERR_FETCH_UNMAPPED)
AddOverflowCheck                       returned 0 writes, no hit
AddStore                               returned 1 writes, no hit
AddStoreCallPauseJmp                   returned 2 writes, no hit
AdvanceTriStripRing                    returned 0 writes, no hit
AerialBlockFsmCluster                  returned 23 writes, no hit
AerialHitDispatcher                    returned 4 writes, no hit
AerialKickComboCluster                 returned 1 writes, no hit
AerialPunchCluster                     returned 13 writes, no hit
AggressorModeCluster                   returned 21 writes, no hit
AggressorRunInitCluster                returned 25 writes, no hit
AiAngleDistComputation                 returned 11 writes, no hit
AiComboDispatcherCluster               returned 8 writes, no hit
AiWalkCounterDualCluster               returned 3 writes, no hit
Alarm3EntryPhaseChain                  returned 17 writes, no hit
Alarm3PhaseChainBody                   returned 4 writes, no hit
Alarm3PhaseChainEntry2                 returned 24 writes, no hit
Alarm4EntryInstallChain                returned 55 writes, no hit
Alarm4EntryInstallCountdown            returned 22 writes, no hit
Alarm5EntryScopedChain                 ran out  HIT ['0x535e0c', '0x53a1e4', '0x53a73c']
AlarmCountdownInstall                  returned 27 writes, no hit
Alldiv                                 EMU-ERROR UcError: Unhandled CPU exception (UC_ERR_EXCEPTION)
AllocNode                              returned 7 writes, no hit
AllocSlotPushTripleGlobals             returned 4 writes, no hit
AllocateNode                           returned 1 writes, no hit
AltCamMatrixProject                    returned 0 writes, no hit
AmbientMonitorCluster                  ran out  25 writes, no hit
AndShlStore                            returned 0 writes, no hit
AndStoreJmp                            returned 3 writes, no hit
AndStorePushCallZero                   returned 0 writes, no hit
AnimEventUpdateCluster                 returned 3 writes, no hit
AnimNodeKindDispatch                   returned 0 writes, no hit
AnimSequence4Way                       returned 20 writes, no hit
Anim_AcquireFrameData                  returned 0 writes, no hit
Anim_DecodeBitstream                   returned 0 writes, no hit
Anim_LoadPackFile                      ran out  11 writes, no hit
AppInit                                ran out  0 writes, no hit
AppInit_Misc1                          ran out  1 writes, no hit
AppInit_Misc2                          ran out  1 writes, no hit
AppInit_Misc3                          returned 0 writes, no hit
AppInit_Misc4                          returned 0 writes, no hit
AppInit_Misc7                          ran out  1 writes, no hit
AppInit_Misc8                          ran out  1 writes, no hit
AppInit_PostDSound                     returned 0 writes, no hit
AppInit_PostJoy                        returned 4096 writes, no hit
AppInit_PreInstall                     returned 1073 writes, no hit
AppShutdown                            ran out  1 writes, no hit
ArgIndexedBitmaskInit                  returned 2 writes, no hit
ArgSarAddDerefJmp                      ran out  1 writes, no hit
ArgSarStoreJmp                         ran out  4 writes, no hit
ArgSar_Set0_Jmp                        returned 39 writes, no hit
ArgSar_Set1_Jmp                        returned 41 writes, no hit
ArgScaledChain                         returned 12 writes, no hit
